timestamp,open,high,low,close,volume,trend_a,trend_b,trend_a_dir,trend_b_dir,logic_c_score,entry_dir,pnl_60m,F1_B,F2_B,F3_B,F5_A,F5_B,arm
2026-03-04 18:00:00+00:00,5152.7,5155.5,5121.1,5134.4,4583.0,False,True,0,-1,0.543,1,0.8000000000001819,False,False,True,False,False,A_old_040
2026-03-05 15:00:00+00:00,5113.3,5128.5,5065.5,5095.1,12401.0,True,True,-1,-1,0.543,1,-23.100000000000364,False,False,True,False,False,A_old_040
2026-03-05 16:30:00+00:00,5072.6,5089.8,5062.4,5086.5,3863.0,False,True,0,-1,0.64,1,-15.300000000000182,False,False,False,False,True,A_old_040
2026-03-05 23:00:00+00:00,5099.7,5119.2,5092.2,5100.4,1637.0,True,True,1,1,0.543,-1,0.5999999999994543,False,False,True,False,False,A_old_040
2026-03-06 07:00:00+00:00,5124.7,5128.1,5114.0,5123.1,2281.0,True,True,-1,-1,0.8170000000000001,1,-14.100000000000364,False,True,True,False,False,A_old_040
2026-03-06 15:00:00+00:00,5137.7,5182.0,5137.4,5170.7,13597.0,True,True,1,1,0.543,-1,18.899999999999636,False,False,True,False,False,A_old_040
2026-03-06 15:30:00+00:00,5171.2,5176.7,5144.3,5151.2,5360.0,False,True,0,1,0.853,-1,1.699999999999818,True,False,False,False,True,A_old_040
2026-03-06 16:00:00+00:00,5151.7,5163.0,5145.5,5151.8,2587.0,False,True,0,-1,0.487,1,1.300000000000182,True,True,False,False,False,A_old_040
2026-03-09 06:30:00+00:00,5134.1,5136.5,5103.6,5104.8,2057.0,False,True,0,-1,0.543,1,1.8999999999996362,False,False,True,False,False,A_old_040
2026-03-09 07:00:00+00:00,5104.8,5114.2,5095.4,5114.2,2846.0,False,True,0,-1,0.64,1,-15.199999999999818,False,False,False,False,True,A_old_040
2026-03-09 08:00:00+00:00,5106.8,5118.7,5098.1,5099.0,2494.0,True,True,-1,-1,0.543,1,34.30000000000018,False,False,True,False,False,A_old_040
2026-03-09 10:30:00+00:00,5107.7,5107.7,5090.9,5094.8,3758.0,True,True,-1,-1,0.543,1,0.8999999999996362,False,False,True,False,False,A_old_040
2026-03-16 04:00:00+00:00,5023.2,5030.1,5022.8,5025.5,987.0,True,True,1,1,0.756,-1,10.600000000000364,True,False,True,False,False,A_old_040
2026-03-16 04:30:00+00:00,5025.5,5028.8,5016.0,5016.5,540.0,False,True,0,-1,0.543,1,4.600000000000364,False,False,True,False,False,A_old_040
2026-03-16 14:30:00+00:00,5020.4,5021.2,4992.1,5000.8,6984.0,True,True,-1,-1,0.543,1,-8.900000000000546,False,False,True,False,False,A_old_040
2026-03-16 17:00:00+00:00,4996.1,5009.6,4995.9,5001.6,4169.0,True,True,1,1,0.487,-1,-11.099999999999454,True,True,False,False,False,A_old_040
2026-03-16 18:30:00+00:00,5012.2,5024.0,5011.4,5018.9,2185.0,True,True,1,1,0.543,-1,-0.1000000000003638,False,False,True,False,False,A_old_040
2026-03-16 19:00:00+00:00,5018.7,5026.5,5014.8,5016.4,1621.0,False,True,0,1,0.853,-1,-3.800000000000182,True,False,False,False,True,A_old_040
2026-03-17 05:30:00+00:00,5040.2,5044.6,5024.3,5024.5,2172.0,True,True,-1,-1,0.543,1,-10.600000000000364,False,False,True,False,False,A_old_040
2026-03-17 07:30:00+00:00,5020.5,5031.9,5020.2,5025.0,2233.0,True,True,1,1,0.543,-1,-4.0,False,False,True,False,False,A_old_040
2026-03-17 08:00:00+00:00,5025.2,5033.5,5022.5,5025.2,2503.0,True,True,1,1,1.308,-1,3.0999999999994543,False,True,False,True,True,A_old_040
2026-03-17 08:30:00+00:00,5025.3,5029.7,5022.3,5029.0,1984.0,True,True,1,1,0.756,-1,14.300000000000182,True,False,True,False,False,A_old_040
2026-03-17 14:00:00+00:00,5021.6,5026.5,5011.4,5013.2,3182.0,False,True,0,-1,0.543,1,-13.800000000000182,False,False,True,False,False,A_old_040
2026-03-17 14:30:00+00:00,5012.9,5024.3,5007.2,5012.5,3443.0,True,True,-1,-1,0.8170000000000001,1,-9.899999999999636,False,True,True,False,False,A_old_040
2026-03-17 16:30:00+00:00,5008.4,5010.3,5002.0,5006.4,1909.0,False,True,0,1,0.756,-1,-0.6000000000003638,True,False,True,False,False,A_old_040
2026-03-17 17:00:00+00:00,5006.5,5013.7,5006.1,5007.4,2847.0,False,True,0,-1,1.03,1,0.8000000000001819,True,True,True,False,False,A_old_040
2026-03-18 09:30:00+00:00,4996.8,5000.0,4995.0,4996.4,1391.0,False,True,0,1,0.853,-1,24.699999999999818,True,False,False,False,True,A_old_040
2026-03-19 01:30:00+00:00,4847.1,4868.7,4844.0,4851.3,2879.0,True,True,1,1,1.034,-1,-8.199999999999818,False,False,False,True,True,A_old_040
2026-03-19 04:30:00+00:00,4851.9,4854.4,4847.0,4851.8,508.0,False,True,0,-1,0.543,1,-22.600000000000364,False,False,True,False,False,A_old_040
2026-03-19 05:00:00+00:00,4851.5,4855.7,4848.0,4849.1,1178.0,False,True,0,-1,0.543,1,-33.80000000000018,False,False,True,False,False,A_old_040
2026-03-19 18:30:00+00:00,4611.5,4626.3,4598.7,4625.8,3081.0,False,True,0,1,0.543,-1,-20.800000000000182,False,False,True,False,False,A_old_040
2026-03-24 01:00:00+00:00,4366.6,4376.9,4330.7,4356.8,5052.0,True,True,-1,-1,0.756,1,-3.800000000000182,True,False,True,False,False,A_old_040
2026-03-24 04:30:00+00:00,4334.3,4350.0,4332.6,4334.0,957.0,False,True,0,-1,0.543,1,15.5,False,False,True,False,False,A_old_040
2026-03-24 11:00:00+00:00,4438.9,4443.2,4372.4,4414.4,7828.0,False,True,0,-1,0.543,1,-11.899999999999636,False,False,True,False,False,A_old_040
2026-03-24 12:00:00+00:00,4408.2,4427.6,4396.3,4402.5,4707.0,True,True,-1,-1,0.487,1,-44.0,True,True,False,False,False,A_old_040
2026-03-24 14:00:00+00:00,4375.2,4415.4,4374.1,4408.4,6039.0,True,True,1,1,0.543,-1,-5.400000000000546,False,False,True,False,False,A_old_040
2026-03-24 14:30:00+00:00,4409.4,4435.0,4400.3,4420.1,6214.0,True,True,1,1,0.8170000000000001,-1,7.300000000000182,False,True,True,False,False,A_old_040
2026-03-24 15:00:00+00:00,4419.9,4421.2,4396.5,4413.8,5314.0,False,True,0,1,1.03,-1,-8.199999999999818,True,True,True,False,False,A_old_040
2026-03-24 15:30:00+00:00,4414.1,4431.2,4410.2,4412.8,4328.0,True,True,-1,-1,1.03,1,9.399999999999636,True,True,True,False,False,A_old_040
2026-03-24 18:30:00+00:00,4407.7,4424.5,4384.0,4390.9,4258.0,False,True,0,1,1.183,-1,-10.100000000000364,False,False,True,False,True,A_old_040
2026-03-30 01:30:00+00:00,4477.7,4506.4,4474.5,4498.5,2770.0,True,True,1,1,0.543,-1,-12.399999999999636,False,False,True,False,False,A_old_040
2026-03-30 04:00:00+00:00,4526.5,4528.5,4516.3,4520.6,1125.0,True,True,-1,-1,0.756,1,14.299999999999272,True,False,True,False,False,A_old_040
2026-03-30 16:00:00+00:00,4578.1,4580.0,4566.6,4566.6,2627.0,False,True,0,1,1.183,-1,9.600000000000364,False,False,True,False,True,A_old_040
2026-03-30 17:30:00+00:00,4556.9,4558.9,4540.9,4545.0,3465.0,True,True,-1,-1,0.543,1,-16.199999999999818,False,False,True,False,False,A_old_040
2026-03-31 12:00:00+00:00,4613.3,4628.0,4601.8,4609.2,5914.0,False,True,0,1,0.914,-1,5.300000000000182,False,True,False,False,True,A_old_040
2026-03-31 13:00:00+00:00,4605.4,4617.8,4597.8,4603.9,2669.0,True,True,-1,-1,0.487,1,37.900000000000546,True,True,False,False,False,A_old_040
2026-03-31 19:30:00+00:00,4703.6,4716.3,4702.8,4712.0,2962.0,True,True,1,1,0.543,-1,12.399999999999636,False,False,True,False,False,A_old_040
2026-04-01 05:00:00+00:00,4702.9,4717.6,4700.8,4712.8,2375.0,True,True,1,1,0.543,-1,-21.899999999999636,False,False,True,False,False,A_old_040
2026-04-01 13:00:00+00:00,4752.1,4769.5,4743.3,4763.4,5048.0,False,True,0,1,0.756,-1,-6.600000000000364,True,False,True,False,False,A_old_040
2026-04-01 14:00:00+00:00,4763.2,4783.0,4751.3,4770.0,5033.0,True,True,1,1,0.8170000000000001,-1,-29.399999999999636,False,True,True,False,False,A_old_040
2026-04-02 06:00:00+00:00,4621.8,4625.4,4580.4,4617.8,9249.0,True,True,-1,-1,1.308,1,28.699999999999818,False,True,False,True,True,A_old_040
2026-04-02 11:00:00+00:00,4647.1,4656.8,4639.1,4640.8,1476.0,False,True,0,-1,0.756,1,11.5,True,False,True,False,False,A_old_040
2026-04-02 13:30:00+00:00,4624.0,4664.7,4612.5,4660.7,1669.0,False,True,0,1,0.543,-1,-50.0,False,False,True,False,False,A_old_040
2026-04-02 17:30:00+00:00,4678.1,4686.3,4672.7,4675.7,1786.0,True,True,-1,-1,0.756,1,19.5,True,False,True,False,False,A_old_040
2026-04-06 03:00:00+00:00,4673.1,4673.5,4651.0,4656.0,1949.0,True,True,-1,-1,0.543,1,15.699999999999818,False,False,True,False,False,A_old_040
2026-04-06 06:00:00+00:00,4678.7,4688.0,4669.3,4682.5,1796.0,False,True,0,-1,0.64,1,-6.600000000000364,False,False,False,False,True,A_old_040
2026-04-07 03:00:00+00:00,4675.9,4679.4,4664.7,4668.1,980.0,False,True,0,1,1.183,-1,-7.099999999999454,False,False,True,False,True,A_old_040
2026-04-07 11:00:00+00:00,4677.1,4681.9,4653.9,4673.0,4588.0,True,True,-1,-1,0.8170000000000001,1,18.199999999999818,False,True,True,False,False,A_old_040
2026-04-07 12:00:00+00:00,4685.2,4696.3,4675.8,4691.2,2613.0,True,True,1,1,0.8170000000000001,-1,7.599999999999454,False,True,True,False,False,A_old_040
2026-04-07 16:30:00+00:00,4687.6,4689.2,4681.9,4682.4,1344.0,False,True,0,1,1.3960000000000001,-1,-19.300000000000182,True,False,True,False,True,A_old_040
2026-04-07 19:00:00+00:00,4688.5,4729.1,4686.9,4713.9,2477.0,False,True,0,1,0.543,-1,-22.5,False,False,True,False,False,A_old_040
2026-04-08 09:00:00+00:00,4821.9,4834.0,4821.2,4825.4,2543.0,False,True,0,-1,0.487,1,-15.599999999999454,True,True,False,False,False,A_old_040
2026-04-09 08:30:00+00:00,4750.1,4758.6,4748.4,4750.5,1955.0,False,True,0,1,0.64,-1,-1.699999999999818,False,False,False,False,True,A_old_040
2026-04-13 14:30:00+00:00,4738.3,4747.5,4731.9,4742.2,3626.0,False,True,0,-1,0.487,1,-5.300000000000182,True,True,False,False,False,A_old_040
2026-04-14 11:00:00+00:00,4790.6,4805.8,4789.4,4800.9,1917.0,False,True,0,-1,0.64,1,-10.0,False,False,False,False,True,A_old_040
2026-04-14 11:30:00+00:00,4801.0,4805.6,4792.3,4797.1,2637.0,False,True,0,1,0.487,-1,9.400000000000546,True,True,False,False,False,A_old_040
2026-04-16 05:00:00+00:00,4855.5,4861.3,4854.4,4855.5,1355.0,False,True,0,1,0.914,-1,17.5,False,True,False,False,True,A_old_040
2026-04-20 00:00:00+00:00,4774.4,4785.9,4764.2,4785.5,3359.0,False,True,0,-1,0.64,1,36.600000000000364,False,False,False,False,True,A_old_040
2026-04-20 12:00:00+00:00,4830.8,4842.9,4822.7,4825.9,6715.0,False,True,0,1,0.914,-1,-19.100000000000364,False,True,False,False,True,A_old_040
2026-04-20 12:30:00+00:00,4825.7,4829.7,4818.8,4823.3,3102.0,True,True,-1,-1,0.487,1,17.5,True,True,False,False,False,A_old_040
2026-04-20 15:00:00+00:00,4822.0,4829.4,4812.6,4827.1,4801.0,False,True,0,-1,0.64,1,-6.0,False,False,False,False,True,A_old_040
