date,source,file_path,file_size_MB,row_count,first_ts_UTC,last_ts_UTC,coverage_hours,front_symbol
2025-09-18,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250918.mbp-10.csv.zst,114.28,134594,2025-09-18T00:00:00.118547138+00:00,2025-09-18T23:59:50.129814978+00:00,24.0,GCZ5
2025-09-19,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250919.mbp-10.csv.zst,87.94,109571,2025-09-19T00:00:05.056558889+00:00,2025-09-19T20:59:59.947003069+00:00,21.0,GCZ5
2025-09-21,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250921.mbp-10.csv.zst,3.82,6152,2025-09-21T22:00:00.213428868+00:00,2025-09-21T23:59:52.395474036+00:00,2.0,GCZ5
2025-09-22,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250922.mbp-10.csv.zst,110.83,128611,2025-09-22T00:00:00.011068772+00:00,2025-09-22T23:59:51.585743847+00:00,24.0,GCZ5
2025-09-23,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250923.mbp-10.csv.zst,148.33,169039,2025-09-23T00:00:00.061226078+00:00,2025-09-23T23:59:59.020679062+00:00,24.0,GCZ5
2025-09-24,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250924.mbp-10.csv.zst,125.42,138112,2025-09-24T00:00:00.001909960+00:00,2025-09-24T23:59:55.905114417+00:00,24.0,GCZ5
2025-09-25,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250925.mbp-10.csv.zst,155.02,153950,2025-09-25T00:00:00.116121813+00:00,2025-09-25T23:59:57.215925523+00:00,24.0,GCZ5
2025-09-26,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250926.mbp-10.csv.zst,120.54,115853,2025-09-26T00:00:00.151607481+00:00,2025-09-26T20:59:57.674862387+00:00,21.0,GCZ5
2025-09-28,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250928.mbp-10.csv.zst,4.57,5482,2025-09-28T22:00:00.153952256+00:00,2025-09-28T23:59:59.530717194+00:00,2.0,GCZ5
2025-09-29,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250929.mbp-10.csv.zst,167.35,153782,2025-09-29T00:00:00.155922260+00:00,2025-09-29T23:59:59.132902387+00:00,24.0,GCZ5
2025-09-30,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250930.mbp-10.csv.zst,178.97,186192,2025-09-30T00:00:00.048063036+00:00,2025-09-30T23:59:58.738548597+00:00,24.0,GCZ5
2025-10-01,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251001.mbp-10.csv.zst,163.77,171113,2025-10-01T00:00:00.668845153+00:00,2025-10-01T23:59:58.866736549+00:00,24.0,GCZ5
2025-10-02,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251002.mbp-10.csv.zst,144.14,165939,2025-10-02T00:00:00.089327931+00:00,2025-10-02T23:59:49.458423945+00:00,24.0,GCZ5
2025-10-03,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251003.mbp-10.csv.zst,115.3,127575,2025-10-03T00:00:00.003075663+00:00,2025-10-03T20:59:58.673583494+00:00,21.0,GCZ5
2025-10-05,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251005.mbp-10.csv.zst,9.32,15933,2025-10-05T22:00:00.164629455+00:00,2025-10-05T23:59:58.150798310+00:00,2.0,GCZ5
2025-10-06,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251006.mbp-10.csv.zst,148.0,166925,2025-10-06T00:00:00.015867803+00:00,2025-10-06T23:59:55.345097119+00:00,24.0,GCZ5
2025-10-07,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251007.mbp-10.csv.zst,173.2,175987,2025-10-07T00:00:00.034099430+00:00,2025-10-07T23:59:57.937342570+00:00,24.0,GCZ5
2025-10-08,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251008.mbp-10.csv.zst,179.13,210105,2025-10-08T00:00:00.068835825+00:00,2025-10-08T23:59:57.994801317+00:00,24.0,GCZ5
2025-10-09,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251009.mbp-10.csv.zst,215.62,265661,2025-10-09T00:00:00.076199382+00:00,2025-10-09T23:59:57.245242721+00:00,24.0,GCZ5
2025-10-10,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251010.mbp-10.csv.zst,198.15,209616,2025-10-10T00:00:00.020877964+00:00,2025-10-10T20:59:59.598778081+00:00,21.0,GCZ5
2025-10-12,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251012.mbp-10.csv.zst,15.6,19556,2025-10-12T22:00:00.197628812+00:00,2025-10-12T23:59:56.482864917+00:00,2.0,GCZ5
2025-10-13,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251013.mbp-10.csv.zst,163.45,182915,2025-10-13T00:00:00.225523236+00:00,2025-10-13T23:59:59.983538636+00:00,24.0,GCZ5
2025-10-14,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251014.mbp-10.csv.zst,249.6,262963,2025-10-14T00:00:00.204173260+00:00,2025-10-14T23:59:59.985125534+00:00,24.0,GCZ5
2025-10-15,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251015.mbp-10.csv.zst,171.91,200515,2025-10-15T00:00:00.152922778+00:00,2025-10-15T23:59:59.274683500+00:00,24.0,GCZ5
2025-10-16,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251016.mbp-10.csv.zst,184.85,256606,2025-10-16T00:00:00.159871021+00:00,2025-10-16T23:59:59.392483389+00:00,24.0,GCZ5
2025-10-17,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251017.mbp-10.csv.zst,302.73,368507,2025-10-17T00:00:00.006489453+00:00,2025-10-17T20:59:59.400137793+00:00,21.0,GCZ5
2025-10-19,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251019.mbp-10.csv.zst,14.79,12246,2025-10-19T22:00:00.150271566+00:00,2025-10-19T23:59:57.503568391+00:00,2.0,GCZ5
2025-10-20,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251020.mbp-10.csv.zst,187.5,232182,2025-10-20T00:00:00.010776814+00:00,2025-10-20T23:59:52.872246427+00:00,24.0,GCZ5
2025-10-21,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251021.mbp-10.csv.zst,317.62,379109,2025-10-21T00:00:00.175462273+00:00,2025-10-21T23:59:57.375469394+00:00,24.0,GCZ5
2025-10-22,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251022.mbp-10.csv.zst,356.54,334117,2025-10-22T00:00:00.147785240+00:00,2025-10-22T23:59:58.287021633+00:00,24.0,GCZ5
2025-10-23,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251023.mbp-10.csv.zst,165.5,187401,2025-10-23T00:00:00.039404759+00:00,2025-10-23T23:59:55.019694389+00:00,24.0,GCZ5
2025-10-24,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251024.mbp-10.csv.zst,158.0,206160,2025-10-24T00:00:00.128719814+00:00,2025-10-24T20:59:59.504716149+00:00,21.0,GCZ5
2025-10-26,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20251026.mbp-10.csv.zst,20.16,17369,2025-10-26T22:00:00.249584875+00:00,2025-10-26T23:59:58.526746508+00:00,2.0,GCZ5
