timestamp,asset,direction,decision,lots,entry,sl,tp1,tp2,result,pnl,gate_score,leg1_ticket,leg2_ticket,leg3_ticket
2026-04-07T18:01:29.146050+00:00,AX1,SHORT,CONFIRMED,0.05,4680.19,4700.21,4660.21,4630.21,open,0.0,4,1744791144,1744791155,1744791162
2026-04-07T18:25:22.849797+00:00,AX1,SHORT,CONFIRMED,0.05,4677.88,4698.26,4658.26,4628.26,open,0.0,2,1744866673,1744866678,1744866687
2026-04-09T02:37:17.203177+00:00,AX1,SHORT,CONFIRMED,0.05,4729.81,4747.68,4707.68,4677.68,open,0.0,4,1753814439,1753814455,1753814468
2026-04-09T06:07:06.338626+00:00,AX1,SHORT,CONFIRMED,0.05,4724.23,4742.64,4702.64,4672.64,open,0.0,4,1754662904,1754662933,1754662957
2026-04-10T11:41:22.080972+00:00,AX1,SHORT,CONFIRMED,0.05,4761.44,4776.88,4736.88,4706.88,open,0.0,2,1762288411,1762288451,1762288467
2026-04-10T11:41:23.664826+00:00,AX1,SHORT,CONFIRMED,0.05,4761.47,4776.89,4736.89,4706.89,open,0.0,2,1762288564,1762288591,1762288599
2026-04-10T12:54:21.362641+00:00,AX1,SHORT,CONFIRMED,0.05,4769.48,4787.02,4747.02,4717.02,open,0.0,3,1762728956,1762728958,1762728964
2026-04-10T13:33:40.364926+00:00,AX1,SHORT,CONFIRMED,0.05,4773.05,4793.74,4753.74,4723.74,open,0.0,1,1762991349,1762991360,1762991368
2026-04-10T13:51:53.449302+00:00,AX1,SHORT,CONFIRMED,0.05,4772.37,4787.84,4747.84,4717.84,open,0.0,1,1763121723,1763121737,1763121749
2026-04-10T13:57:51.758539+00:00,AX1,SHORT,CONFIRMED,0.05,4776.87,4789.84,4749.84,4719.84,open,0.0,2,1763153354,1763153368,1763153374
2026-04-10T14:26:42.897963+00:00,AX1,SHORT,CONFIRMED,0.05,4790.09,4814.85,4774.85,4744.85,open,0.0,6,1763377439,1763377514,1763377589
2026-04-10T20:03:45.841399+00:00,AX1,LONG,OFFENSIVE_FLIP,0.02,4755.92,4721.91,4762.94,4769.86,open,0.0,0,1764918803,1764918805,0
